codigo;descricao;
2031;Algodão ;ciclo de 130 dias
2032;Algodão ;ciclo de 140 dias
2033;Algodão ;ciclo de 150 dias
2034;Algodão ;ciclo de 160 dias
2035;Algodão ;ciclo de 170 dias
2006;Arroz Irrigado ;ciclo de 120 dias
2007;Arroz Irrigado ;ciclo de 130 dias
2008;Arroz Irrigado ;ciclo de 135 dias
2009;Arroz Irrigado ;ciclo de 140 dias
2010;Arroz Irrigado ;ciclo de 150 dias
2011;Arroz Sequeiro ;ciclo de 120 dias
2012;Arroz Sequeiro ;ciclo de 130 dias
2013;Arroz Sequeiro ;ciclo de 135 dias
2014;Arroz Sequeiro ;ciclo de 140 dias
2015;Arroz Sequeiro ;ciclo de 150 dias
2039;Aveia ;ciclo de 130 dias
2040;Aveia ;ciclo de 140 dias
2041;Aveia ;ciclo de 150 dias
2045;Citros ;ciclo de 240 dias
2046;Citros ;ciclo de 300 dias
2047;Citros ;ciclo de 360 dias
2024;Feijão ;ciclo de 100 dias
2025;Feijão ;ciclo de 110 dias
2021;Feijão ;ciclo de 70 dias
2022;Feijão ;ciclo de 80 dias
2023;Feijão ;ciclo de 90 dias
2048;Girassol ;ciclo de 130 dias
2049;Girassol ;ciclo de 140 dias
2050;Girassol ;ciclo de 150 dias
2016;Milho ;ciclo de 110 dias
2017;Milho ;ciclo de 120 dias
2018;Milho ;ciclo de 130 dias
2019;Milho ;ciclo de 140 dias
2020;Milho ;ciclo de 150 dias
2001;Soja ;ciclo de 110 dias
2002;Soja ;ciclo de 120 dias
2003;Soja ;ciclo de 130 dias
2004;Soja ;ciclo de 140 dias
2005;Soja ;ciclo de 150 dias
2026;Trigo ;ciclo de 120 dias
2027;Trigo ;ciclo de 130 dias
2028;Trigo ;ciclo de 140 dias
2029;Trigo ;ciclo de 150 dias
2030;Trigo ;ciclo de 160 dias
